physical_id,family,source_dice,risk,harm,z_source_dice,z_risk
polypgen_static_0000,DeepLabV3-R50,0.6995040191551223,0.7477879373272908,1,-0.13912200500416633,1.4099852193962734
polypgen_static_0001,DeepLabV3-R50,0.0,0.3835322282400336,0,-2.2519047807818344,0.0037261003115676285
polypgen_static_0002,DeepLabV3-R50,0.0,0.0317609628792643,0,-2.2519047807818344,-1.3543351116461209
polypgen_static_0003,DeepLabV3-R50,0.8374943937808342,0.4790982002458015,1,0.2776642874955472,0.37267164119013685
polypgen_static_0004,DeepLabV3-R50,0.9545789861945412,0.6264150809026469,0,0.631306730407331,0.9414086620536195
polypgen_static_0005,DeepLabV3-R50,0.8252280146737119,0.652020690073522,0,0.24061490137480784,1.0402626278198401
polypgen_static_0006,DeepLabV3-R50,0.9646932474157603,0.2769027448457036,1,0.6618558570924331,-0.4079316435363061
polypgen_static_0007,DeepLabV3-R50,0.6836592178770949,0.9046945119684434,0,-0.18697966172824065,2.015744569020109
polypgen_static_0008,DeepLabV3-R50,0.9129385557824392,0.2917960274023187,1,0.5055359246056452,-0.3504340837565963
polypgen_static_0009,DeepLabV3-R50,0.0,0.0302063135744082,0,-2.2519047807818344,-1.3603370484926587
polypgen_static_0010,DeepLabV3-R50,0.7454495311638168,0.4765316744064485,1,-0.00034812560101029363,0.36276321621307733
polypgen_static_0011,DeepLabV3-R50,0.8975288303130148,0.6395583968093234,1,0.4589923713740483,0.9921502355902125
polypgen_static_0012,DeepLabV3-R50,0.9147845891060924,0.5010889269742492,1,0.5111116858635103,0.4575698575411437
polypgen_static_0013,DeepLabV3-R50,0.956271690629648,0.1524051509699344,0,0.6364193769069119,-0.888571678336599
polypgen_static_0014,DeepLabV3-R50,0.0,0.3327100606994967,0,-2.2519047807818344,-0.1924798472482284
polypgen_static_0015,DeepLabV3-R50,0.9604158336665334,0.5929226914329044,1,0.6489363514902254,0.8121066993478563
polypgen_static_0016,DeepLabV3-R50,0.9664420663231602,0.2197376594291475,0,0.6671379918112178,-0.6286252954264157
polypgen_static_0017,DeepLabV3-R50,0.7984189723320159,0.9253298836971436,1,0.1596408378332678,2.095410251520739
polypgen_static_0018,DeepLabV3-R50,0.8820798514391829,0.8832261756073213,1,0.4123302571128481,1.9328631123229574
polypgen_static_0019,DeepLabV3-R50,0.9351248642779588,0.5737968878756687,1,0.5725474773112896,0.7382689117958634
polypgen_static_0020,DeepLabV3-R50,0.8794532499636469,0.5072103576263813,0,0.4043968668757951,0.4812024800688068
polypgen_static_0021,DeepLabV3-R50,0.9786857053520246,0.1047986463966636,0,0.7041186937723989,-1.072363118014138
polypgen_static_0022,DeepLabV3-R50,0.9258523667659716,0.8184662774429345,0,0.5445408147399579,1.6828486442646124
polypgen_static_0023,DeepLabV3-R50,0.4224882557963327,0.8267637866672184,1,-0.9758207478509355,1.714882316548232
polypgen_static_0024,DeepLabV3-R50,0.9463835912198632,0.5374537194710278,1,0.6065533496274633,0.5979611260551201
polypgen_static_0025,DeepLabV3-R50,0.9324004916327882,0.7987492558841481,1,0.5643187789165774,1.6067283785377928
polypgen_static_0026,DeepLabV3-R50,0.978770237784922,0.0852022873641446,0,0.7043740156337885,-1.1480175495106018
polypgen_static_0027,DeepLabV3-R50,0.9526476578411406,0.7704410078114455,0,0.6254733439396388,1.497440504650238
polypgen_static_0028,DeepLabV3-R50,0.414759139050222,0.6624628633999751,1,-0.9991657813117598,1.0805760699898572
polypgen_static_0029,DeepLabV3-R50,0.9534446764091858,0.4851826050005739,0,0.6278806597754719,0.3961613201632985
polypgen_static_0030,DeepLabV3-R50,0.9100693952697918,0.6515124387818191,0,0.49686990876289905,1.0383004540064638
polypgen_static_0031,DeepLabV3-R50,0.9854043171904708,0.0968996190233282,0,0.7244115970019618,-1.1028583964642327
polypgen_static_0032,DeepLabV3-R50,0.0,0.5232900816538142,0,-2.2519047807818344,0.5432804598556004
polypgen_static_0033,DeepLabV3-R50,0.6446566142095213,0.2598719269393629,1,-0.3047831724769883,-0.47368145167596537
polypgen_static_0034,DeepLabV3-R50,0.8846859924006318,0.3904671238147459,0,0.4202018483886903,0.030499215731711223
polypgen_static_0035,DeepLabV3-R50,0.000196637498771,0.634525771681622,0,-2.2513108566454485,0.972721096108779
polypgen_static_0036,DeepLabV3-R50,0.8431764492095221,0.5883080595186934,1,0.294826374505777,0.794291279990835
polypgen_static_0037,DeepLabV3-R50,0.9344692005242464,0.8907202483062696,1,0.5705671097256703,1.9617950077169573
polypgen_static_0038,DeepLabV3-R50,0.9566239316239316,0.3929251303915351,0,0.6374832860271825,0.039988687213274046
polypgen_static_0039,DeepLabV3-R50,0.5854591836734694,0.4390529701526317,0,-0.4835831624440645,0.21807153859881323
polypgen_static_0040,DeepLabV3-R50,0.8141789537467178,0.692916182322447,1,0.20724230454074402,1.1981452840687015
polypgen_static_0041,DeepLabV3-R50,0.9701627486437612,0.7765700122550525,0,0.6783759451407797,1.5211023668385621
polypgen_static_0042,DeepLabV3-R50,0.971391616603414,0.1338624288096067,0,0.68208761939534,-0.960158400191845
polypgen_static_0043,DeepLabV3-R50,0.8914280552795593,0.556806850177318,0,0.44056558316896033,0.6726765412417612
polypgen_static_0044,DeepLabV3-R50,0.9763180902421408,0.0852570999695188,0,0.6969675462638037,-1.1478059379305352
polypgen_static_0045,DeepLabV3-R50,0.9093715417321916,0.1314853227376111,0,0.49476211110358315,-0.9693355441799291
polypgen_static_0046,DeepLabV3-R50,0.8688751852383001,0.1165621739560316,0,0.37244686753230605,-1.0269484066169783
polypgen_static_0047,DeepLabV3-R50,0.0053626491486794,0.2923029184747167,0,-2.235707428881622,-0.34847716125638767
polypgen_static_0048,DeepLabV3-R50,0.9715226622757605,0.076810291248265,0,0.6824834299007724,-1.1804160013971916
polypgen_static_0049,DeepLabV3-R50,0.9573650083204224,0.0869332502440649,0,0.6397216349672888,-1.1413349299278241
polypgen_static_0050,DeepLabV3-R50,0.949284304047384,0.1072457614286342,1,0.6153146661197768,-1.0629156948350176
polypgen_static_0051,DeepLabV3-R50,0.969939049647908,0.0936193635747117,0,0.677700284426252,-1.1155222724789784
polypgen_static_0052,DeepLabV3-R50,0.960426253330104,0.0339274814801406,1,0.6489678230545318,-1.345970969470331
polypgen_static_0053,DeepLabV3-R50,0.7688715953307393,0.9240781105045792,1,0.07039590501199923,2.0905776094422377
polypgen_static_0054,DeepLabV3-R50,0.9314347020384278,0.1673581094192004,0,0.561401706871081,-0.8308437315893379
polypgen_static_0055,DeepLabV3-R50,0.4279027902790279,0.3736843472928801,1,-0.9594666814258278,-0.03429299462670195
polypgen_static_0056,DeepLabV3-R50,0.881008506713129,0.351128164543894,0,0.4090943662213836,-0.12137423149183048
polypgen_static_0057,DeepLabV3-R50,0.3974025974025974,0.4225771648778756,0,-1.0515895004555906,0.1544644328380096
polypgen_static_0058,DeepLabV3-R50,0.965490943755958,0.763967424212853,0,0.6642652200720855,1.472448347378388
polypgen_static_0059,DeepLabV3-R50,0.9801561851586372,0.1305606835368798,0,0.7085601327383859,-0.9729052406196906
polypgen_static_0060,DeepLabV3-R50,0.9569357705415232,0.035052858494098,0,0.6384251646667086,-1.3416262971733572
polypgen_static_0061,DeepLabV3-R50,0.9866470310250464,0.0796153394272106,0,0.7281650913536926,-1.169586728217099
