sample_id,model_state_id,delta_dice,harm,benefit,SOURCE_STATE,SOURCE_PLUS_SIMPLE_MASK_CHANGE,FROZEN_FULL_TRANSITION_SAFETTA,pred_dice,pred_iou,area_delta,boundary_delta,CHANGE_MAGNITUDE_ONLY,CHANGE_MAGNITUDE_IOU_ONLY,magnitude_stratum
polypgen_static_0000,DeepLabV3-R50::20260817,-0.0438740099579076,1,0,0.7344509979980486,0.8815415027034758,0.9218351251657916,0.7875360923965351,0.6495336376265132,0.014236828512396691,9.712509712509723e-05,0.2124639076034649,0.35046636237348683,4
polypgen_static_0001,DeepLabV3-R50::20260817,0.0,0,0,0.3496575671215778,0.0636214924102327,0.1707106841478447,0.9393939393939394,0.8857142857142857,0.00038739669421487604,4.451566951566954e-05,0.06060606060606055,0.11428571428571432,3
polypgen_static_0002,DeepLabV3-R50::20260817,0.0,0,0,0.04252120096182,0.0007024328643113,2.265056236599858e-06,0.0,0.0,0.0010088455578512396,0.0002428127428127428,1.0,1.0,4
polypgen_static_0003,DeepLabV3-R50::20260817,0.0205142642278237,0,1,0.3769931148216153,0.1273146948403028,0.1789695690090924,0.9637975063842572,0.9301246738184981,0.001945054235537192,6.475006475006482e-05,0.03620249361574279,0.06987532618150194,3
polypgen_static_0004,DeepLabV3-R50::20260817,0.0016038661332449,0,0,0.5260837774268874,0.042096356673089,0.2129991541888288,0.99764078367012,0.9952926729431028,4.03538223140501e-05,-8.093758093758157e-06,0.0023592163298800095,0.004707327056897248,1
polypgen_static_0005,DeepLabV3-R50::20260817,0.0340239859795626,0,1,0.6866386250400559,0.3351072141388412,0.6600744822586551,0.9627113847024694,0.9281036834924966,0.007279829545454544,4.451566951566965e-05,0.03728861529753058,0.07189631650750339,3
polypgen_static_0006,DeepLabV3-R50::20260817,-0.0023154190585507,0,0,0.2702464681121602,0.0740499917401282,0.0946660853214828,0.9965861344537815,0.9931954985605862,0.0003228305785123939,0.0,0.0034138655462184753,0.0068045014394138015,1
polypgen_static_0007,DeepLabV3-R50::20260817,-0.0002386245088575,0,0,0.7529672393649725,0.1206204381333705,0.3225235110395058,0.9976063829787234,0.9952241973998408,1.6141528925619347e-05,0.0,0.002393617021276606,0.004775802600159196,1
polypgen_static_0008,DeepLabV3-R50::20260817,-0.0066036099174311,0,0,0.3605098717399786,0.1066480042204057,0.2385238421688755,0.9914761884568084,0.9830964595071903,0.0012671100206611552,1.6187516187516314e-05,0.008523811543191595,0.016903540492809732,2
polypgen_static_0009,DeepLabV3-R50::20260817,0.0,0,0,0.0437681615510898,0.0003582705052266,0.0210393024509,1.0,1.0,0.0,0.0,0.0,0.0,1
polypgen_static_0010,DeepLabV3-R50::20260817,0.004068242327503,0,0,0.4841656964064106,0.0713747485565167,0.1908447009098242,0.9840966921119593,0.9686912961803381,4.842458677686151e-05,-1.2140637140637019e-05,0.01590330788804073,0.03130870381966189,2
polypgen_static_0011,DeepLabV3-R50::20260817,-0.00600709118258,0,0,0.6176772575545777,0.112865569053017,0.3557275000444141,0.9871807812657717,0.9746860673709388,0.0007667226239669381,-2.4281274281274254e-05,0.01281921873422831,0.02531393262906123,2
polypgen_static_0012,DeepLabV3-R50::20260817,0.0010288352397552,0,0,0.4373415439141024,0.0792529758840674,0.1705285972752752,0.996355265681949,0.992737003058104,4.03538223140501e-05,0.0,0.0036447343180510128,0.007262996941896027,1
polypgen_static_0013,DeepLabV3-R50::20260817,0.0002213006425022,0,0,0.2342639922645571,0.0499291889310249,0.0693035872257765,0.9988858116066597,0.9977741032816078,-5.649535123966598e-05,0.0,0.0011141883933403207,0.0022258967183922396,1
polypgen_static_0014,DeepLabV3-R50::20260817,0.0,0,0,0.3291656467470635,0.4461255349939688,0.6492054257486862,0.24250949500633,0.13798623339202817,0.043461066632231406,0.0006636881636881637,0.75749050499367,0.8620137666079718,4
polypgen_static_0015,DeepLabV3-R50::20260817,-0.0023891776092427,0,0,0.4773925641825884,0.0647500886776109,0.1404488539762927,0.9951578539608754,0.9903623747108713,0.00020176911157024705,8.093758093758157e-06,0.004842146039124584,0.009637625289128704,1
polypgen_static_0016,DeepLabV3-R50::20260817,0.0009607371679797,0,0,0.3415209288187976,0.0794371822854198,0.1660980767086843,0.9984588711230977,0.9969224850932872,-0.00022598140495866392,-8.093758093758157e-06,0.0015411288769022757,0.0030775149067128194,1
polypgen_static_0017,DeepLabV3-R50::20260817,-0.0327349209336788,1,0,0.7598108074223172,0.2477773307090179,0.4262233768712722,0.9620170268500328,0.9268138801261829,0.0009362086776859516,8.093758093758049e-06,0.037982973149967236,0.07318611987381707,3
polypgen_static_0018,DeepLabV3-R50::20260817,0.0020047851753525,0,0,0.6735611138724137,0.1368006172688379,0.3217196344423803,0.9911582670203359,0.9824715162138475,0.00016141528925619868,8.093758093758049e-06,0.008841732979664063,0.01752848378615246,2
polypgen_static_0019,DeepLabV3-R50::20260817,0.017130824266037,0,0,0.5657690095866352,0.0988308172935133,0.2670062636184276,0.9679618268575324,0.9379128137384413,0.0018966296487603305,1.6187516187516097e-05,0.032038173142467596,0.062087186261558736,3
polypgen_static_0020,DeepLabV3-R50::20260817,0.0067501740041274,0,0,0.445478297974296,0.0510696562425131,0.2028777105156306,0.9849315068493151,0.970310391363023,0.0005972365702479367,-8.093758093758157e-06,0.015068493150684925,0.029689608636977005,2
polypgen_static_0021,DeepLabV3-R50::20260817,0.0003677975895092,0,0,0.1406867892625084,0.0595710852835051,0.0631636652215771,0.9989341951454308,0.9978706597520349,0.0004519628099173556,0.0,0.0010658048545691967,0.0021293402479650725,1
polypgen_static_0022,DeepLabV3-R50::20260817,-0.0019626523859153,0,0,0.6500241325061432,0.0895090687358377,0.2429013979162129,0.9958378295051642,0.9917101627264354,0.00012106146694215031,1.6187516187516097e-05,0.004162170494835804,0.008289837273564582,1
polypgen_static_0023,DeepLabV3-R50::20260817,0.0038449771051435,0,0,0.7661743591382759,0.0820359176332431,0.4081997684272309,0.9783257108769139,0.9575710393149085,0.00031475981404958595,3.2375032375032194e-05,0.02167428912308611,0.0424289606850915,3
polypgen_static_0024,DeepLabV3-R50::20260817,-0.0022083982563019,0,0,0.4268637428919812,0.1108734395278901,0.1313505044614752,0.9977773978457856,0.9955646537018082,0.00010491993801652749,1.6187516187516314e-05,0.002222602154214437,0.004435346298191756,1
polypgen_static_0025,DeepLabV3-R50::20260817,-0.0009427877052956,0,0,0.5828973104298999,0.1689422290070039,0.1851150775887678,0.9983841840129265,0.9967735813247296,0.00012106146694215031,0.0,0.001615815987073499,0.003226418675270404,1
polypgen_static_0026,DeepLabV3-R50::20260817,2.7120574480288265e-05,0,0,0.1198814125811059,0.0677970822395484,0.0729682987813652,0.9990612465507922,0.998124253964645,-2.4212293388448103e-05,0.0,0.0009387534492077965,0.0018757460353550082,1
polypgen_static_0027,DeepLabV3-R50::20260817,-0.0007515010582441,0,0,0.6006458596620955,0.0743369318973109,0.2144899725978445,0.9971823770491803,0.9943805874840358,1.6141528925622817e-05,-8.093758093758157e-06,0.002817622950819665,0.005619412515964206,1
